,Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Outlet_Years,Outlet,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,New_Item_Type_0,New_Item_Type_1,New_Item_Type_2
0,FDA15,9.3,0.016047301,4,249.8092,OUT049,1999,3735.138,26,9,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
1,DRC01,5.92,0.019278216,14,48.2692,OUT018,2009,443.4228,16,3,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False
2,FDN15,17.5,0.016760075,10,141.618,OUT049,1999,2097.27,26,9,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
3,FDX07,19.2,0.06613202877895108,6,182.095,OUT010,1998,732.38,27,0,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False
4,NCD19,8.93,0.06613202877895108,9,53.8614,OUT013,1987,994.7052,38,1,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True
5,FDP36,10.395,0.06613202877895108,0,51.4008,OUT018,2009,556.6088,16,3,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
6,FDO10,13.65,0.012741089,13,57.6588,OUT013,1987,343.5528,38,1,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False
7,FDP10,19.0,0.127469857,13,107.7622,OUT027,1985,4022.7636,40,5,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
8,FDH17,16.2,0.016687114,5,96.9726,OUT045,2002,1076.5986,23,7,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
9,FDU28,19.2,0.09444959,5,187.8214,OUT017,2007,4710.535,18,2,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
10,FDY07,11.8,0.06613202877895108,6,45.5402,OUT049,1999,1516.0266,26,9,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
11,FDA03,18.5,0.045463773,4,144.1102,OUT046,1997,2187.153,28,8,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False
12,FDX32,15.1,0.1000135,6,145.4786,OUT049,1999,1589.2646,26,9,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False
13,FDS46,17.6,0.047257328,13,119.6782,OUT046,1997,2145.2076,28,8,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False
14,FDF32,16.35,0.0680243,6,196.4426,OUT013,1987,1977.426,38,1,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
15,FDP49,9.0,0.069088961,2,56.3614,OUT046,1997,1547.3192,28,8,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False
16,NCB42,11.8,0.008596051,8,115.3492,OUT018,2009,1621.8888,16,3,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
17,FDP49,9.0,0.069196376,2,54.3614,OUT049,1999,718.3982,26,9,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False
18,DRI11,8.26,0.034237682,7,113.2834,OUT027,1985,2303.668,40,5,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
19,FDU02,13.35,0.10249212,4,230.5352,OUT035,2004,2748.4224,21,6,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
20,FDN22,18.85,0.138190277,13,250.8724,OUT013,1987,3775.086,38,1,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False
21,FDW12,8.315,0.035399923,0,144.5444,OUT027,1985,4064.0432,40,5,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
22,NCB30,14.6,0.025698134,9,196.5084,OUT035,2004,1587.2672,21,6,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
23,FDC37,15.5,0.057556998,0,107.6938,OUT019,1985,214.3876,40,4,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
24,FDR28,13.85,0.025896485,5,165.021,OUT046,1997,4078.025,28,8,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False
25,NCD06,13.0,0.099887103,9,45.906,OUT017,2007,838.908,18,2,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True
26,FDV10,7.645,0.066693437,13,42.3112,OUT035,2004,1065.28,21,6,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
